log_budget,duration_days,adults,children,is_family,is_couple,is_solo,is_business,log_price,rating,log_review_count,star_rating,quality_score,luxury_score,business_score,family_score,romantic_score,wellness_score,budget_score,distance_from_city_center_km,pool,spa,family_friendly,business_friendly,walkability,shopping,nightlife,waterfront,poi_density,budget_match,family_x_family_score,business_x_business_score,couple_x_romantic_score,solo_x_budget_score,family_x_wellness_score,couple_x_wellness_score,luxury_style_x_luxury_score,semantic_similarity,target,hotel_id,destination_id
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.760381774087405,4.6,10.011579334886969,5.0,0.94,0.927,0.945,0.6,0.62,0.73,0.26,2.51,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,61.0,1.0,0.6,0.945,0.0,0.0,0.73,0.0,0.927,0.3799225532333196,0.73605,1,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.5883236773352225,4.6,9.753013439181293,5.0,0.895,0.837,0.74,0.9,0.74,0.86,0.345,6.3,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,15.0,1.0,0.9,0.74,0.0,0.0,0.86,0.0,0.837,0.3714026482812152,0.7325499999999999,2,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.783640596221253,4.7,10.063861683597258,5.0,0.955,0.949,0.948,0.6,0.635,0.74,0.242,2.67,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,46.0,1.0,0.6,0.948,0.0,0.0,0.74,0.0,0.949,0.4145939375838849,0.7429499999999999,3,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.220709447280168,4.7,9.704670693212975,4.0,0.81,0.709,0.935,0.04,0.29,0.14,0.47,2.96,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,26.0,1.0,0.04,0.935,0.0,0.0,0.14,0.0,0.709,0.39152953035284643,0.5633500000000001,4,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.125886168361387,4.4,8.977525200965243,4.0,0.734,0.653,0.73,0.04,0.26,0.12,0.705,3.25,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,43.0,1.0,0.04,0.73,0.0,0.0,0.12,0.0,0.653,0.45242439153577974,0.49875,5,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.172889869070121,4.5,8.867004635333567,4.0,0.751,0.69,0.935,0.04,0.29,0.14,0.47,3.13,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,18.0,1.0,0.04,0.935,0.0,0.0,0.14,0.0,0.69,0.37700659408970927,0.5487000000000001,6,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.29519219797823,4.4,9.369649154461065,4.0,0.815,0.753,1.0,0.04,0.29,0.14,0.42,6.27,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,14.0,1.0,0.04,1.0,0.0,0.0,0.14,0.0,0.753,0.3264178354582283,0.58395,7,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.29519219797823,4.4,9.396653950039674,4.0,0.815,0.753,0.935,0.04,0.29,0.14,0.42,8.9,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,191.0,1.0,0.04,0.935,0.0,0.0,0.14,0.0,0.753,0.3425531802701783,0.5709500000000001,8,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.756280956721596,4.7,9.19624144759668,5.0,0.938,0.928,0.745,0.7,0.62,0.73,0.26,1.83,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,71.0,1.0,0.7,0.745,0.0,0.0,0.73,0.0,0.928,0.39401757299318224,0.7158,9,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.320588421959424,4.5,9.379576689221482,4.0,0.83,0.775,0.737,0.69,0.555,0.7,0.402,2.75,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,43.0,1.0,0.69,0.737,0.0,0.0,0.7,0.0,0.775,0.34270712671816295,0.66765,10,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.783640596221253,4.7,9.170351363759819,5.0,0.969,0.992,0.75,1.0,0.9,0.9,0.2,3.09,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,32.0,1.0,1.0,0.75,0.0,0.0,0.9,0.0,0.992,0.32675200347147526,0.7926000000000001,11,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.146521958586964,4.3,9.806646201086572,4.0,0.765,0.661,0.73,0.04,0.26,0.12,0.705,2.01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,67.0,1.0,0.04,0.73,0.0,0.0,0.12,0.0,0.661,0.36706587786308864,0.5061500000000001,12,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,7.697030486636303,4.8,9.861206160279522,4.0,0.89,0.871,1.0,0.59,0.585,0.72,0.318,8.22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,0.59,1.0,0.0,0.0,0.72,0.0,0.871,0.34615103635940625,0.7266499999999999,13,ffd6861a-bd53-4760-983e-ca81e02190ed
12.079335264112762,6.0,2.0,0.0,1.0,0.0,0.0,1.0,6.320588421959424,4.5,9.392161803728454,4.0,0.83,0.775,0.938,0.04,0.305,0.15,0.402,9.12,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,41.0,1.0,0.04,0.938,0.0,0.0,0.15,0.0,0.775,0.3879313729705361,0.57785,14,ffd6861a-bd53-4760-983e-ca81e02190ed
